Конфигурация,X (задач/с),W (с),W₀.₉₅ (с),U (доли),Потери задач
baseline (no failures),3.017±0.097,0.740±0.141,3.301±0.564,0.668±0.030,0.000±0.000
MTTF=10,2.162±0.106,31.415±6.987,85.286±14.063,0.426±0.028,319.800±78.329
MTTF=20,2.564±0.157,17.231±6.459,55.971±15.109,0.530±0.033,145.000±68.421
MTTF=35,2.829±0.125,9.283±4.610,35.405±16.383,0.600±0.016,48.900±34.443
MTTF=40,2.956±0.088,5.525±1.711,22.511±8.335,0.634±0.016,16.700±13.229
MTTF=60,2.968±0.102,3.454±2.044,15.181±9.438,0.640±0.022,7.400±10.984
MTTF=80,2.962±0.100,2.678±2.411,11.573±9.028,0.642±0.020,10.000±19.303
round_robin,2.805±0.191,10.010±5.396,35.376±16.374,0.596±0.047,61.100±70.793
least_loaded,2.828±0.196,7.125±3.553,28.152±16.638,0.601±0.051,59.400±69.764
random,2.775±0.149,11.307±5.662,38.523±18.531,0.596±0.033,68.500±60.966
down,2.805±0.191,10.010±5.396,35.376±16.374,0.596±0.047,61.100±70.793
degrade,2.924±0.114,8.757±3.793,33.122±10.484,0.844±0.045,7.300±9.839
freeze,2.805±0.191,10.010±5.396,35.376±16.374,0.596±0.047,61.100±70.793
drop_queue,2.612±0.225,3.399±1.080,15.496±6.138,0.574±0.056,57.000±68.968
drop_all,2.612±0.225,3.399±1.080,15.496±6.138,0.574±0.056,57.000±68.968
deterministic (node0 down t=100..130),3.017±0.098,0.800±0.201,3.341±1.253,0.668±0.030,0.000±0.000
